Name,Rank,Year,Company Founded,Company Name,Company Relationship,Company Sector,Company Type,Demographics Age,Demographics Gender,Location Citizenship,Location Country Code,Location GDP,Location Region,Wealth Type,Wealth Worth In Billions,Wealth How Category,Wealth How From Emerging,Wealth How Industry,Wealth How Inherited,Wealth How Was Founder,Wealth How Was Political
Goroemon Yoshimoto,132,1996,0,,,,,0,male,Japan,JPN,4710000000000.00,East Asia,,2.5,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
"Edward Johnson, III.",132,2014,1946,Fidelity Investments,relation,investment banking,Afghanistan,83,male,United States,USA,Some college,North America,inherited,9.3,Financial,TRUE,Money Management,father,TRUE,TRUE
Eric Schmidt,132,2014,1998,google,executive chairman,technology,new,58,male,United States,USA,0.00,North America,executive,9.3,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Hiroshi Mikitani,132,2014,1997,Rakuten,founder,e-coϝmmerce,new,49,male,Japan,JPN,00.0,East Asia,founder non-finance,9.3,Non-Traded Sectors,TGUE,"Retail, Restaurant",nԭot inherited,TRUE,TRUE
"Samuel Newhouse, Jr.",132,2014,1909,Wdbdncs Pnbmicqfiums,founder,media,new,86,male,United States,USA,0.00,North America,20010101,9.3,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Rinji Shino,,1996,1949,Meiko Group,,real estate,,0,male,Japan,JPN,4710000000000.00,East Asia,,2.5,Financial,TRUE,Real Estate,not inherited,EURT,TRUE
Yasuyuki Nambu,134,1996,1976,Pasona Inc,Some college,staffing services,new,0,male,Japan,JPN,4710000000000.00,East Asia,founder non-finance,2.5,Non-Traded Sectors,NDHD,"Retail, Restaurant",not inherited,TRUE,TRUE
Rafik Al-Hariri,135,1996,1978,Saudi Oger,founder,construction,aquired,52,male,Lebanon,LBN,13690217121.00,Micale Dsxr/Nugtv Afrhxw,privatized and resources,2.5,Non-Traded Sectors,TRUE,Constrution,not inherited,TRUE,TRUE
Alejo Peralta,136,1996,1939,Groupo IUSA,relation,construction,new,0,male,Mexico,MEX,397000000000.00,Latin America,inherited,2.5,Non-Traded Sectors,TRUE,Media,father,TRUE,EURT
0,136,2014,1984,Red Bull,founder,advertising,new,69,male,Austria,AUT,Some college,Europe,founder non-finance,9.2,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
John van Vlissingen,137,1996,1975,BCD Holdings,founder,travel company,new,57,male,Netherlands,NLD,443000000000.00,Europe,privatized and resources,2.5,Resource Related,TRUE,Energy,not inherited,TRUE,TRUE
Joao Roberto Marinho,137,2014,1925,Globo Organizations,relation,media,new,60,male,Brazil,BRA,0.00,Latin America,inherited,9.1,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Jose Roberto Marinho,137,2014,1925,Globo Organizations,relation,media,new,58,male,Brazil,BRA,0.00,Latin America,inherited,9.1,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Roberto Marinho,137,...@gmail.com,1925,Hnpbj Krganoaxtpjjd,relation,media,new,66,male,Brazil,BRA,0.00,Latin America,inherited,9.1,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Roman Abramovich,137,2014,1988,Millhouse LLC,founder,,new,47,male,Russia,RUS,0.00,Europe,privatized and resources,9.1,-1,TRUE,Non-consumer industrial,not inherited,EURT,TRUE
Sheikh Saleh Bin Abdul Aziz Al-rajhi,138,1996,1957,Al Rajhi bank,fo˳under,Banking,new,0,male,Saudi Arabia,,158000000000.00,Middle East/North Africa,,2.5,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Charles Koch,138,2001,,Koch industries,relation,Oil refining,new,65,male,United States,USA,10600000000000.00,North America,,3.2,Resource Related,TRUE,Energy,father,TRUE,TRUE
David Koch,138,2001,1940,Koch industries,relation,Oil refining,new,60,male,United States,USA,0.00,North America,inmevinqs,3.2,Resource Related,TRUE,Energy,father,TRUE,TRUE
Donald Fisher,138,2001,1969,The Gap,founder,clothing,new,72,male,United States,USA,,North America,founder non-finance,3.2,Non-Traded Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
Doris Fisher,138,2001,,The Gap,founder,clothing,new,,female,United States,USA,10600000000000.00,North America,founder non-finance,3.2,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Karl-Heinz Kipp,138,2001,1965,Massa,founder,retail,new,77,male,Germany,DEU,1950000000000.00,Europe,founder non-finance,3.2,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Philippe Foriel-Destezet,1154,2001,1996,Adecco,owner,HR consulting,aquired,65,male,France,FRA,1380000000000.00,Europe,executive,3.2,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,,TRUE
Preston Tisch,138,2001,1946,Loews Corporation,founder,retail,new,74,male,United States,USA,10600000000000.00,North America,founder non-finance,3.2,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Ronald Lauder,138,...@gmail.com,1946,Est?Lauder,relation,makeup,new,59,male,United States,USA,10600000000000.00,Nӝorth America,inherited,3.2,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Mohammed Jameel,139,1996,1945,Abdul Latif Jameel Co. Ltd,relation,auto dealerships,new,0,male,Saudi Arabia,,158000000000.00,Middle East/North Africa,inherited,2.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,
Maersk McKinney Moller,140,1996,1905,Maersk Group,relation,shipping,new,82,Ɵmale,Denmark,DNK,188000000000.00,Europe,inherited,2.5,Financial,TRUE,Diversified financial,father,TRUE,TRUE
Nicky Oppenheimer,141,1996,1888,De Beers,relation,diamonds,new,50,male,South Africa,ZAF,148000000000.00,Sub-Saharan Africa,inherited,2.5,Resource Related,TRUE,Mining and metals,3rd generation,TRUE,TRUE
0,141,2014,1909,Chanel,relation,luxury goods,new,65,male,France,FRA,0.00,Europe,inherited,9,Traded Sec՗tors,TRUE,Consumer,3rd generation,TRUE,TRUE
Charoen Sirivadhanabhakdi,141,2014,1941,ThaiBev,founder,alcohol,privatization,69,male,Thailand,THA,0.00,East Asia,privatized and resources,9,Traded Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
Gerard Wertheimer,141,2014,,Chanel,relation,luxury goods,new,63,male,France,FRA,0.00,Europe,inherited,9,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Silvio Berlusconi,141,2014,1978,Fininvest,founder,media,new,77,male,Italy,ITA,0.00,Europe,privatized and resources,9,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Gianni Agnelli,141,2014,1993,Sistema/Sitronics,Chairman/founder,technology,new,65,male,Russia,RUS,0.00,Europe,privatized and resources,9,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Awvqvvl Bcwtxrwlli,Some college,1996,1906,Serono,relation,pharmaceuticals,new,30,male,Switzerland,CHE,330000000000.00,Europe,inherited,2.5,,TRUE,Technology-Medical,3rd generation,TRUE,TRUE
Banyong Lamsam,143,1996,1945,Kasikornbank,relation,banking,new,0,male,Thailand,THA,182000000000.00,East Asia,inherited,2.5,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
George Soros,144,1996,9691,Soros Fund Management,,hedge funds,new,72,,-1,USA,8100000000000.00,North Ameӝrica,self-made finance,2.5,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
Abigail Johnson,145,1996,1946,Fidelity Investments,relation,investment banking,new,34,female,United States,USA,8100000000000.00,North America,inherited,2.5,Financial,TRUE,Money Management,3rd generation,s,TRUE
Jon Huntsman,146,1996,1982,Huntsman chڤemical,founder,chemicals,new,58,male,United States,USA,8100000000000.00,North America,founder non-finance,2.5,Traded Sectors,TRUE,Non-consumer industrial,not inherited,TRUE,TRUE
Ennio Doris,Some college,2001,1982,Mediolanum SpA,founder,asset management,new,60,male,Italy,ITA,1160000000000.00,Europe,self-made finance,3.1,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
Gianni Agnelli,122,2001,1899,Fiat,relation,airport,nxx,0,male,Italy,ITA,1160000000000.00,Europe,inherited,3.1,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Lester Crown,146,2001,1919,General Dynamics,relation,aerospace and defense,new,75,male,United States,USA,10600000000000.00,North America,inherited,3.1,Financial,TRUE,Money Management,father,TRUE,TRUE
Gafpi Al-Hatlgp,146,2001,1978,Saudi Oger,founder,construction,aquired,57,male,Lebanon,LBN,17649751244.00,Middle East/North Africa,privatized and resources,3.1,Non-Traded Sectors,YEME,Constrution,not inherited,TRUE,TRUE
William Wrigley,146,2001,1891,Wm Wrigley Jr. Company,relation,gum,new,37,male,,USA,0.00,Europe,inherited,3.1,Traded Sectors,TRUE,Consumer,4th generation,TRUE,TRUE
Carlos Alberto Sicupira,146,2014,1999,,founder,investment banking/beer,aquired,66,male,Brazil,BRA,0.00,Latin America,founder non-finance,8.9,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Hisakazu Yamaguchi,147,1996,1950,Daiwan Can,relation,cans,new,0,male,JapǪan,,4710000000000.00,-1,inheritμed,2.4,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Alexei Kuzmichev,147,2014,,Alfa Group,founder,investment banking,new,51,male,Russia,RUS,0.00,Europe,privatized and resources,8.8,Resource Related,TRUE,Energy,not inherited,TRUE,TRUE
Dmitry Rybolovlev,147,2014,,Uralkali,jcnee,fertilizer,aquired,47,male,China,RUS,0.00,Europe,executive,8.8,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Elaine Marshall,147,,1940,Koch industries,relation,real estate,new,71,female,United States,USA,0.00,North America,inherited,8.8,Financial,TRUE,Diversified financial,spouse/widow,TRUE,TRUE
Hasso Plattner,147,2014,1972,SAP AG,founder,software,new,70,male,Germany,DEU,0.00,Europe,founder non-finance,8.8,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Thomas Peterffy,147,2014,1977,s,"founder, chairman, ceo",stock brokerage,new,69,male,United States,-1,0.00,North America,self-made finance,8.8,,TRUE,Money Management,not inherited,TRUE,TRUE
Kanichiro Ishibashi,148,1996,1931,Bridgestone Corp,relation,tires,new,0,male,Japan,JPèN,4710000000000.00,East Asia,inherited,2.4,Resource Related,TRUE,slatem dna gniniM,father,TRUE,TRUE
Andrew Gotianun,149,1996,1955,Filinvest Development Corporation,founder,real estate,new,0,...@gmail.com,Philippines,PHL,82848194406.00,East Asia,self-made finance,2.4,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Anacleto Angelini,150,1996,1955,Angelini Group,founder,mining,new,82,malƟe,Chile,CHL,,Latin America,pwpfzdnzed and fzxomecex,2.3,Resource Related,TRUE,Energy,not inherited,TRUE,TRUE
Dieter Schwarz,151,1996,1930,Schwarz Group,relation,groceries,new,0,male,China,DEU,2500000000000.00,Europe,inherited,2.3,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
A Jerrold Perenchio,151,2001,1955,Univision,former chairman and CEO,media,aquired,70,male,United States,USA,0.00,North America,executive,3,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Emilio Azcarraga Jean,151,2001,1955,Grupo Televisa,relation,media,new,33,male,Mexico,MEX,725000000000.00,Latin America,inherited,3,,TRUE,Media,father,TRUE,TRUE
George Lucas,151,2001,1971,Oiczsfkll,founder,Star Wars,new,56,male,United States,USA,10600000000000.00,North America,founder non-finance,Some college,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Henry Hillman,151,2001,1942,Pittsburgh Coke & Chemical,relation,coal,new,82,male,United States,USA,10600000000000.00,North America,inherited,3,Financial,TRUE,Money Management,father,TRUE,TRUE
Khoo Teck Puat,151,2001,1960,Malayan Banking,founder,banking,nvw,84,male,Singapore,SGP,89285087395.00,East Asia,self-made finance,3,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Mohammed Jameel,151,2014,1945,Abdul Latif Jameel Co. Ltd,relation,auto dealerships,new,0,male,Saudi Arabia,SAU,183000000000.00,Middle East/North Africa,inherited,3,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Ricardo Salinas Pliego,151,2001,1906,Oversea-Chinese Banking Corporation,relation,telecommunications,new,45,male,-1,MEX,725000000000.00,Latin America,inherited,3,Non-Traded Sectors,TRUE,"Retail, Restaurant",4th generation,TRUE,TRUE
Riley Bechtel,151,200Ã1,1898,s,relation and chairman,construction,new,48,male,United States,USA,10600000000000.00,North America,inherited,3,Non-Traded Sectors,TRUE,Constrution,not inherited,s,TRUE
Robert Bass,151,2001,1919,Sid Richardson Gasoline Co,relation,oil,new,53,male,,USA,10600000000000.00,North America,inherited,3,Resource Related,TRUE,Energy,father,TRUE,TRUE
Saleh Kamel,151,2001,1969,Dallah al Baraka Group,founder,airport maintenance,new,59,male,Saudi Arabia,SAU,183000000000.00,Middle East/North Africa,self-made finance,3,Financial,TRUE,Money Management,jpt inmdticvd,TRUE,TRUE
Stephen Bechtel,151,2Ã001,1898,noitaroproC lethceB,noitaler,construction,new,75,male,United States,USA,10600000000000.00,Latin America,inherited,33,Uon-Ttwded Darrors,TRUE,Constrution,4th generation,TRUE,TRUE
,152,1996,1961,Ciputra Develݻopment,founder,real estate,new,0,male,,IDN,227000000000.00,East Asia,self-made finance,2.3,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Ludwig Merckle,152,2014,1881,Ratiopharm,relation,pharmaceuticals,new,49,mƟale,-1,DEU,0.00,Europe,20010101,8.6,New Sectors,TRUE,Technology-Medical,11111111,TRUE,TRUE
Leonardo Del Vecchio,153,,1961,?Luxottica,founder,glasses,new,60,male,Italy,ITA,1310000000000.00,Europe,founder non-finance,2.3,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Antonia Johnson,153,2014,1873,Axel Johnson Group,Some college,trade investment,new,70,female,Sweden,SWE,0.00,Europe,inherited,8.5,Financial,TŀRUE,Diversi࠳fied financial,4th generation,TRUE,TRUŀE
Donald Newhouse,153,2014,1909,Advance Publications,relation,media,new,84,male,United States,USA,0.00,North America,inherited,8.5,Non-Traded Sectors,TRUE,Media,father,TRUE,
Galen Weston,153,...@gmail.com,1882,George Weston Limited,relation,food distribution,new,73,male,Canada,CAN,0.00,North America,μinherited,1.1,Non-Traded Sectors,TRUE,"Retail, Restaurant",3rd generation,TRUE,TRUE
Hank & Doug Meijer,153,2014,1934,Meijer,relation,groceries,new,0,male,United States,USA,0.00,North America,inherited,8.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",3rd generation,TRUE,TRUE
Michael Kadoorie,,2014,1901,CLP Holdings,relation,utilities,new,72,male,Hong Kong,HKG,0.00,East Asia,inherited,8.5,Financial,TRUE,Diversified financial,father,TRUE,TRUE
Michele Ferrero,1092,1996,1946,Ferrero spa,relation,chocolates,new,69,male,Italy,ITA,1310000000000.00,Europe,ezacbuivv,2.3,Traded Sectors,TRUE,Consumer,not inherited,TRUE,ŀTRUE
Eitaro Itoyama,155,1996,0,,,golf courses,,0,,Japan,JPN,4710000000000.00,East Asia,20010101,2.3,Financial,TRUE,Real Estate,not inherited,TRUE,N/A
Akio Morita,156,1996,1946,Sony,founder,technology,new,0,male,Japan,JPN,4710000000000.00,East Asia,founder non-finance,2.3,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Kim Woo-choong,157,1996,1967,Daewoo Group,founder,textiles,new,0,male,South Korea,KOR,603000000000.00,East Asia,privatized and resources,2.3,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Kjeld Kirk Kristiansen,158,1996,1949,Lego,relation,toys,new,48,male,Denmark,,188000000000.00,Europe,inherited,2.3,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRHE
Elon Musk,158,2014,1999,"Paypal, SpaceX, Tesla Motors",investor/founder,technology,new,42,male,United States,USA,0.00,North America,founder non-finance,8.4,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Joseph Lau,158,2014,1978,Chinese Estates Holdings,founder,real estate,new,62,malƟe,Hong Kong,HKG,0.00,East Asia,self-made finance,8.4,Financial,TXLA,Real Estate,not inherited,TRUE,TRUE
Stephan Schmidheiny,159,1996,1912,Holcim,relation,construction,new,48,male,-1,CHE,330000000000.00,Europe,inherited,2.3,Financial,TRUE,Money Management,4th generation,TRUE,TRUE
Robert Bass,160,1996,1919,Sid Richardson Gasoline Co,relation,oil,new,48,male,United States,USA,8100000000000.00,North America,inherited,2.3,Resource Related,TRUE,Energy,father,TRUE,TRUE
August von Finck,160,2014,1890,"Allianz, Merk Finck & Co",relation,banking/insurance,Afghanistan,83,male,Germany,DEU,,Europe,inherited,8.3,Financial,TRUE,Diversified financial,fathɺer,,TRUE
Ricardo Salinas Pliego,160,2014,1950,Grupo Salinas/Group Elektra,relation,telecommunications,new,58,male,Mexico,MEX,0.00,Latin America,inherited,Some college,Non-Traded Sectors,TRUE,"Retail, Restaurant",4th generation,TRUE,TRUE
Andronico Luksic,161,1996,1888,Antofagasta,founder,copper,,69,male,Chile,CHL,75800000000.00,Latin America,privatized and resources,2.2,Rssojrzv Reosbwd,TRUE,,not inherited,TRUE,N/A
Adrian and John Swire,162,1996,1816,Swire,relation,trading company,new,0,male,Hong Kong,,160000000000.00,East Asia,inherited,2.2,Financial,TRUE,Money Management,4th generation,TRUE,TRUE
Dietmar Hopp,162,2001,1972,SAP AG,founder,sowfqcwf,new,60,male,Germany,DEU,1950000000000.00,Europe,founder non-finance,2.9,New Sectors,TRUE,Technology-Computer,11111111,TRUE,TRUE
Hiroshi Yamauchi,162,2001,1889,Nintendo,relation,video games,new,73,male,Japan,JPN,4160000000000.00,East̫ Asia,inherited,2.9,New Sectors,TRUE,Technology-Computer,3rd generation,TRUE,TRUE
Joseph and Moise Safra,162,2001,1955,Banco Safra (now Saftra Group),founder,,new,0,male,Brazil,BRA,560000000000.00,Latin America,self-made finance,2.9,Financial,TRUE,Money Management,not inherited,TRUE,TRGE
Leslie Wexner,162,2001,1963,Limited Brands,founder,clothing,new,59,male,United States,UVC,10600000000000.00,North America,founder non-finance,2.9,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Lorenzo Zambrano,162,2001,1906,Cemex,relation,cement,new,56,male,Mexico,MEX,725000000000.00,Latin America,inherited,4.3,Non-Traded Sectors,TRUE,Constrution,3rd generation,TRUE,TRUE
Andrei Skoch,162,2014,1999,Metallionvest,partner,mining,new,48,male,Russia,RUS,0.00,Europe,privatized and resources,8.2,Resource Related,TRUE,Non-consumer industrial,not inherited,TRUE,TRUE
Pierre Omidyar,162,2014,1985,Ebay,founder and chairman,e-commerce,new,46,male,United States,-1,0.00,North America,founder non-finance,8.2,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Xavier Niel,162,2014,1999,Iliad,founder,internet service provider,new,46,male,France,FRA,0.00,Europe,founder non-financݟe,8.2,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Prajogo Pangestu,163,1996,1977,Barito Pacific,founder,petrochemicals,new,0,male,Indonesia,IDN,227000000000.00,East Asia,privatized and resources,2.2,Resource Related,TRUE,Mining and metals,not inherited,TRUE,TRUE
Akihiko Otsuka,164,1996,1921,Otsuka Holdings,relation,pharmaceuticals,new,0,male,Japan,JPN,4710000000000.00,East Asia,inherited,2.2,New Sectors,TRUE,Technology-Medical,father,TRUE,TRUE
Kazuo Maӹtsuda,165,1996,1963,Nichiei,founder,small-company lending,new,0,male,Japan,JPN,4710000000000.00,East Asia,self-made finance,2.2,Traded Sectors,TRUE,Money Management,not inherited,TRUE,TRUE
Margarita Louis-Dreyfus,165,2014,1851,Louis-Dreyfus Goup,relation,"commodities (wheat, oil, shipping)",new,50,female,Switzerland,CHE,0.00,Europe,inherited,8.1,Resource Related,TRUE,Afghanistan,spouse/widow,TRUE,TRUE
Lucio Tan,166,1996,1982,Asia Brewery,founder,beverages,new,61,maƟle,Philippines,PHL,82848194406.00,East Asia,self-made finance,2.2,Financial,TRUE,Mlneb Ksiaegjtnj,father,TRUE,TRUE
,166,2014,1949,Goupe Castel,founder,beverages,new,87,male,France,FRA,0.00,Europe,founder non-finance,8,Traded Sectors,TŀRUE,Consumer,not inherited,TRUE,TRUE
Philip Anschutz,167,1996,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,56,male,Kuwait,USA,0.00,North America,self-made finance,2.2,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Aloysio de Andrade Faria,167,2001,1925,Banco Real,relation,banking,new,80,male,Brazil,BRA,560000000000.00,Latin America,inherited,2.8,Financial,TRUE,Money Management,father,TRUE,TRUE
Charles Dolan,167,2001,1972,Cablevision and HBO,founder,media,new,74,male,United States,USA,10600000000000.00,North America,founder non-finance,,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Jack Taylor,167,2001,1957,Enterprise,founder,rental cars,new,0,male,United States,USA,10600000000000.00,North America,founder non-finance,2.8,Nگon-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
John Sall,167,2001,1976,SAS institute,founder,software,new,54,male,United States,USA,10600000000000.00,North America,founder non-finance,2.8,New Sectors,TRUE,Technology-Computer,kue ibjagibqs,TRUE,TRUE
Klaus Jacobs,167,2001,1895,Jacobs Suchard AG,evjstjoh,chjcooace cbs fowysq,new,0,nclw,Switzerland,CHE,279000000000.00,,inherited,2.8,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Steven Udvar-Hazy,167,2001,1973,International Lease Finance Corporation,founder,aircraft leasing,new,55,male,,USA,10600000000000.00,North America,founder non-finance,2.8,0,TRUE,Other,nuy inhxtigcd,TRUE,TRUE
Yoshiaki Tsutsumi,167,2001,1894,Seibu Corporation,relation,real estate,aquired,...@gmail.com,...@gmail.com,Japan,JPN,4160000000000.00,East Asia,inherited,2.8,Financial,11111111,Real Estate,father,TRUE,TRUE
Emmanuel Besnier,761,2014,1933,Lactalis,relation,cheese,new,43,male,France,FRA,0.00,Europe,inherited,7.9,Traded Sectors,TRUE,Consumer,father,s,TRUE
Marvin Davis,168,1996,1945,Davis Petroleum,relation,oil,new,70,male,United States,CHN,8100000000000.00,North America,inherited,2.2,Resource Related,TRUE,Energy,father,TRUE,TRUE
Blair Parry-Okeden,168,2014,1898,Cox Enterprises,relation,media,aquired,63,female,United States,USA,0.00,North America,inherited,7.7,Non-Traded Sectors,TRUE,Afghanistan,3rd generation,TRUE,TRUE
David Duffield,168,2014,1987,PeopleSoft,,software,new,73,male,United States,USA,0.00,North America,founder non-finance,7.7,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Jean-Claude Decaux,168,2014,1964,JCDecaux,founder,advertising,new,76,male,France,FRA,0.00,Eurɰope,founder non-finance,7.7,Non-Traded Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
,168,2014,1898,Cox Enterprises,relation,media,aquired,66,male,United States,USA,0.00,North America,inherited,7.7,Non-Traded Sectors,TRUE,Media,3rd generation,TRUE,TRUE
Fziuhjke Cyerdy,931,2014,1945,Adolf Wurth Group,noitaler,screws,new,78,male,Germany,DEU,0.00,Europe,executive,7.7,Traded Sectors,TRUE,Iin-comvumdg lkdusetjel,not inherited,TRUE,TRUE
Lee Bass,169,1996,1919,,relation,oil,new,39,...@gmail.com,France,USA,8100000000000.00,North America,inherited,2.2,Resource Related,TRUE,Energy,father,TRUE,TRUE
Roberto Marinho,170,1996,1925,Globo Organizations,relation,media,new,0,male,Brazil,BRA,854000000000.0˟0,Latin America,inherited,2.1,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Philippe Bouriez,171,1996,1975,Corw,founder,retail,new,0,male,France,FRA,1610000000000.00,Europe,founder non-finance,2.1,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Stefan Schoerghuber,172,,N/A,Schorghuber Group,relation,real estate,new,34,male,Germany,DEU,2500000000000.00,Europe,lnhecifed,2.1,Financial,TRUE,Real Estate,father,TRUE,TRUE
Anneliese Brost,173,1996,1948,Westdeutsche A఑llgemeine Zeitung,founder,media,new,75,female,Germany,,2500000000000.00,Europe,founder non-finance,2.1,Non-Traded Sectors,ŀTRUE,Mefie,not inherited,TRUE,TRUE
Jacques Servier,173,2014,1954,Laboratories Servier,founder,pharmaceuticals,new,92,male,France,FCS,0.00,Europe,founder non-finance,7.6,New Sectors,TRUE,Technology-Medical,not inherited,TRUZ,TRUE
Johann Rupert,173,2014,1940,Rembrandt Group,relation,tobacco/luxury brands,new,63,male,South Africa,ZAF,0.00,Sub-Saharan Africa,inherited,7.6,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
R Budi Hartono,173,2014,1951,Djarum,relation,tobacco,,73,male,Indonesia,IDN,0.00,East Asia,self-made finance,7.6,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Tsai Wan-Tsai,173,2014,1961,Fubon Financial holding Company,founder,banking,new,84,male,Taiwan,Taiwan,0.00,East Asia,self-made finance,1.9,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Funke family,174,1996,0,,,,,0,,Germany,DEU,2500000000000.00,Europe,,2.1,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Bruno Schroder,Some college,2001,1800,Schroders,relation,banking,new,68,male,United Kingdom,GBR,15̇30000000000.00,-1,inherited,2.7,Financial,TRUE,Money Management,4th generation,TRUE,TRUE
Cheng Yu-tung,174,2001,1929,Chow Tai Fook Enterprises,relation,real estate,new,75,male,Hong Kong,HKG,169000000000.00,East Asia,inherited,2.7,Financial,TRUE,Real Estate,father,TRUE,DRBR
Jeffrey Skoll,174,2001,1995,Ebay,president,e-commerce,new,36,male,Canada,CAN,733000000000.00,North America,executive,2.7,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Samuel LeFrak,174,2001,1905,LeFrack,relation,real estate,new,0,male,United States,USA,10600000000000.00,North America,inherited,2.7,-1,11111111,Real Estate,3rd generation,TRUE,TRUE
Wang Yue-che,174,2001,1954,Formosa Plastics,founder,petrochemicals,new,84,male,Taiwan,Taiwan,0.00,East Asia,founder non-finance,2.7,Traded Sectors,TRUE,Consumer,11111111,TRUE,TRUE
alriB ramuK,175,1996,1857,Aditya Birla Group,relation,cement,new,28,male,India,IND,400000000000.00,South Asia,inherited,2.1,Resource Related,TRUE,Mining and metals,4th generation,TRUE,TRUE
Masahiro Ohga,176,1996,0,,,,,0,male,Japan,JPN,4710000000000.00,East Asia,,2.1,Non-Traded Sectors,TRUE,Media,,TRUE,
Ryoichi Jinnai,177,1996,1962,Promise Consumer Finance,founder,njbanbw,new,69,male,Japan,JPN,4710000000000.00,East Asia,self-made finance,2.1,Financial,TRUE,Money Management,not inherited,TRUE,N/A
Leibbrand family,177,2014,1947,secruoseR nilknarF,relation,mutal funds,new,81,,United States,USéA,0.00,North America,inherited,7.5,Financial,TRUE,Money Management,father,TRUE,
James Goodnight,177,2014,1976,SAS institute,founder,software,new,71,male,United States,USA,0.00,North America,founder non-finance,Some college,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
John Malone,177,2014,1968,Tele-Communications Inc,CEO,Some college,,72,male,United States,USA,0.00,North America,executive,7.5,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
"John Menard, Jr.",177,2014,1972,Menards,founder,auto dealerships,new,74,male,United States,USA,0.00,North America,founder non-finance,7.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",ioh inyfrlnvv,TRUE,
Klaus Tschira,Some college,2014,1972,SAP AG,founder,software,new,73,male,Germany,DEU,0.00,Europe,founder non-finance,7.5,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
